id_w1,ppethm,ppeducat,sex,ppincimp,ppwork,xparty7
382850,4,2,1,12,3,2
383062,0,1,1,12,0,0
383235,0,1,1,12,0,2
383341,2,3,1,17,6,4
383678,0,3,1,14,0,0
383888,0,3,0,15,0,6
385287,0,2,1,15,6,0
385671,0,3,1,15,4,0
386561,0,2,1,16,6,1
387814,0,2,0,14,1,2
388520,0,1,0,8,4,2
388581,0,3,0,14,0,5
390074,0,3,1,17,0,6
390305,0,1,1,6,1,6
1120482,1,2,0,11,0,6
391390,0,1,0,10,0,5
391750,0,2,0,10,4,5
391981,0,2,1,13,4,0
393173,0,1,1,15,4,5
394379,0,3,0,20,0,5
394579,0,3,1,3,5,6
394828,0,3,1,17,3,6
395108,0,3,0,15,0,0
395252,0,3,0,18,1,4
396156,0,3,0,10,0,2
396220,0,2,0,10,0,6
396251,0,1,1,13,0,6
584990,0,2,0,5,3,1
397358,0,3,1,14,4,5
399477,0,1,0,13,4,1
399742,0,3,0,17,0,1
400773,0,0,1,11,6,2
400777,0,2,1,12,0,5
402306,0,3,0,17,4,1
402963,1,3,1,8,0,6
403668,3,1,1,13,0,3
405127,0,1,1,6,4,1
405161,0,2,1,6,0,6
957131,0,0,0,12,3,5
406035,0,3,0,13,0,1
407248,0,2,0,19,0,4
407296,0,3,0,13,0,0
409835,0,2,0,12,0,6
410123,0,1,0,9,1,1
410899,0,2,1,9,0,1
411013,0,3,0,20,0,6
411473,0,3,0,20,0,0
1160496,0,2,1,5,0,0
413178,0,3,1,9,1,6
413333,0,1,1,12,0,6
413496,1,3,0,15,0,6
413791,0,0,0,10,5,0
413826,0,3,0,19,0,6
414222,0,2,1,9,0,1
414430,4,0,0,7,5,4
414741,1,1,0,12,0,4
414884,0,1,1,6,4,0
415184,0,2,0,10,4,6
415833,2,3,1,15,4,0
416258,0,3,1,10,0,6
416469,0,3,0,16,4,6
416710,3,3,0,20,0,0
416730,0,3,1,11,0,0
417682,0,2,0,18,0,6
418564,0,3,0,18,0,1
765400,0,1,0,12,0,1
421488,0,3,0,20,0,0
421889,0,1,1,15,0,1
421986,1,1,1,4,4,6
425352,0,1,0,4,0,6
586000,0,2,1,12,0,5
426197,0,2,1,10,0,6
427335,0,1,0,12,0,6
427711,0,3,0,12,4,0
428375,0,2,1,9,0,4
430241,0,3,0,18,4,1
1073471,0,3,0,15,0,1
430862,0,1,0,15,4,2
431071,0,2,1,2,5,2
431154,0,1,0,12,0,2
431270,0,2,1,11,0,2
431488,0,3,0,12,0,0
431574,0,2,1,15,6,2
1152479,0,1,0,18,0,0
432429,0,3,1,13,0,2
432648,0,3,0,17,0,4
432762,3,3,0,19,0,2
432849,0,3,1,12,4,0
433138,0,1,1,13,4,1
433302,0,2,1,17,0,1
433310,0,2,0,11,4,0
433591,0,3,1,20,4,6
434114,0,2,0,14,0,4
434216,0,1,0,10,0,6
434517,0,3,0,16,0,1
434538,0,2,0,13,0,1
434841,0,3,1,18,4,4
434940,4,2,0,15,0,0
435056,1,3,1,13,0,6
435534,2,3,1,20,0,6
436817,0,3,1,16,0,2
437113,0,3,1,7,4,6
437129,3,2,1,17,0,6
437161,0,2,0,14,0,6
437358,0,2,0,17,0,3
437586,0,3,0,20,4,1
437698,0,1,1,1,1,2
437963,0,1,1,14,6,6
438591,0,2,1,10,1,1
438629,0,3,1,14,4,6
440298,1,2,1,7,4,6
440380,0,1,1,7,4,0
440715,0,2,1,15,0,4
441131,1,3,1,15,0,1
441168,0,2,0,4,1,5
441224,2,3,0,17,0,4
441275,0,2,1,18,1,2
441300,0,3,1,15,0,0
442795,0,2,1,7,6,0
442848,0,2,1,12,0,3
443468,3,1,1,14,0,2
444017,1,3,0,17,0,6
444231,0,2,1,15,0,5
444519,0,3,0,6,4,4
444911,0,2,0,7,0,4
444941,0,2,0,17,0,0
445259,0,2,1,5,0,2
451731,0,2,1,12,0,5
451949,0,2,1,16,4,1
454581,0,3,0,18,0,2
455964,0,3,0,12,4,6
457482,0,2,0,14,4,4
457638,0,3,0,12,4,1
458932,0,1,0,13,0,5
459814,0,3,0,20,4,0
459944,0,0,1,4,6,0
460412,0,1,1,15,0,0
460492,0,2,0,17,0,4
460933,0,3,0,15,0,5
460941,1,1,1,15,0,5
461116,1,1,0,4,4,6
461740,0,2,1,13,0,0
464110,0,1,1,12,4,6
464764,0,3,0,19,4,6
1077309,0,3,0,18,0,3
465462,0,1,0,14,0,0
466858,0,3,0,19,4,0
467503,2,3,1,16,0,1
469672,0,1,1,13,0,0
469694,2,3,1,18,3,5
470156,1,3,0,14,0,6
470342,0,3,1,18,6,5
472182,0,2,1,18,4,5
472356,0,2,0,16,0,2
472712,0,3,1,6,4,6
472916,1,2,0,16,0,6
473024,0,3,0,10,0,2
474026,0,1,0,15,1,4
474142,1,3,1,12,0,5
474227,0,2,1,16,4,5
474799,0,3,1,15,0,6
475980,0,2,0,14,0,0
477407,0,3,1,13,0,5
477441,0,2,1,9,1,4
478888,0,2,1,4,4,5
479097,0,3,0,12,4,4
479466,1,3,1,12,0,4
485132,0,1,1,18,0,0
485625,0,3,0,14,0,6
486060,0,2,1,14,4,0
707869,4,1,1,9,5,2
487717,0,2,1,18,1,2
488586,4,3,0,12,4,4
489762,0,2,0,19,4,2
489806,0,2,1,15,4,1
490250,0,1,1,14,0,4
490418,0,3,1,14,1,6
491205,0,2,1,8,4,6
1031695,0,2,0,17,0,1
491641,0,1,0,8,0,5
491783,0,2,0,0,4,2
491997,1,3,0,12,0,5
492078,0,1,0,12,1,3
492131,0,1,0,6,4,6
492181,0,1,1,12,4,0
492408,0,2,0,11,4,0
494173,0,2,0,15,0,6
1107543,1,1,0,8,0,6
494898,2,3,0,13,4,4
498249,0,2,0,18,0,0
498626,0,3,0,19,0,6
499642,0,1,1,10,4,4
499760,3,1,1,9,0,4
500913,1,2,1,13,4,6
502066,3,1,0,10,0,6
502312,0,2,0,15,0,1
503570,0,2,1,17,0,2
503994,0,3,1,15,4,6
505391,4,2,1,10,0,4
505712,0,3,1,20,1,6
